,City,Latitude,Longitude,Value,Year,VAL
1155,New York,40.714353,-74.005972,6700,1914,0.17631115
49,Baghdad,33.34058,44.40088,6643,2015,0.174811189
407,Mumbai,19.07283,72.88261,6610,1970,0.173942791
408,Cairo,30.06263,31.24967,6600,1970,0.17367964
50,Santiago,-33.46,-70.65,6507,2015,0.171232336
1256,London,51.511214,-0.119825,6480,1900,0.170521828
51,Hangzhou,30.29,120.16,6391,2015,0.168179785
52,Ar-Riyadh (Riyadh),24.690466,46.709566,6370,2015,0.167627168
53,Shenyang,41.79,123.43,6315,2015,0.166179837
54,Madrid,40.4165,-3.70256,6199,2015,0.163127286
55,"Xi'an, Shaanxi",34.29,108.94,6044,2015,0.159048446
56,Toronto,43.7,-79.42,5993,2015,0.157706376
26,Jakarta,-6.211831,106.841646,5984,1980,0.15746954
2,Shanghai,31.22,121.46,5966,1980,0.156995869
17,Manila,14.6042,120.9822,5955,1980,0.156706402
409,Seoul,37.56826,126.97783,5900,1970,0.155259072
470,Paris,48.856614,2.352222,5900,1950,0.155259072
57,Miami,25.789097,-80.204044,5817,2015,0.153074919
58,Pune (Poona),18.516057,73.861578,5728,2015,0.150732875
59,Belo Horizonte,-19.92,-43.94,5716,2015,0.150417094
60,Dallas-Fort Worth,32.72541,-97.32085,5703,2015,0.150074998
61,Surat,21.16667,72.83333,5650,2015,0.148680298
62,Houston,29.7601927,-95.3693896,5638,2015,0.148364517
63,Singapore,1.28967,103.85007,5619,2015,0.14786453
64,Philadelphia,39.95234,-75.16379,5585,2015,0.146969817
1,Delhi,28.66667,77.21667,5558,1980,0.146259309
65,Kitakyushu-Fukuoka M.M.A.,33.6064,130.4181,5510,2015,0.144996184
66,Luanda,-8.84,13.23,5506,2015,0.144890924
17,Ruhr,51.407415,6.862626,5500,1975,0.144733033
67,"Suzhou, Jiangsu",31.3,120.59,5472,2015,0.143996211
68,Haerbin,45.76,126.65,5457,2015,0.143601484
410,Ruhr,51.407415,6.862626,5450,1970,0.143417278
471,Shanghai,31.22222,121.45806,5406,1950,0.142259414
18,Manila,14.58,121,5400,1975,0.142101524
6,Beijing,39.91,116.4,5366,1980,0.14120681
19,Jakarta,-6.21462,106.84513,5300,1975,0.139470014
936,Tokyo,35.6895,139.69171,5300,1925,0.139470014
411,Philadelphia,39.95,-75.1667,5279,1970,0.138917397
69,Barcelona,41.38879,2.15899,5258,2015,0.13836478
20,Beijing,39.9075,116.39723,5200,1975,0.136838504
21,Philadelphia,39.95,-75.1667,5200,1975,0.136838504
70,Atlanta,33.76,-84.4,5142,2015,0.135312229
71,Al-Khartum (Khartoum),15.55177,32.53241,5129,2015,0.134970132
72,Dar es Salaam,-6.82349,39.26951,5116,2015,0.134628036
472,Moscow,55.75222,37.61556,5100,1950,0.134206995
39,Tehran,35.69439,51.42151,5079,1980,0.133654378
11,Karachi,24.9056,67.0822,5048,1980,0.13283861
473,Buenos Aires,-34.61315,-58.37723,5000,1950,0.131575485
73,Sankt Peterburg (Saint Petersburg),59.929858,30.326228,4993,2015,0.131391279
74,"Washington, D.C.",38.89511,-77.03637,4955,2015,0.130391305
474,Chicago,41.85003,-87.65005,4906,1950,0.129101866
475,Ruhr,51.407415,6.862626,4900,1950,0.128943975
75,Abidjan,5.35,-4.03,4860,2015,0.127891371
76,Guadalajara,20.66667,-103.33333,4843,2015,0.127444015
77,Yangon,16.80528,96.15611,4802,2015,0.126365096
22,Detroit,42.33143,-83.04575,4800,1975,0.126312465
412,Beijing,39.9075,116.39723,4800,1970,0.126312465
476,Calcutta,22.56263,88.36304,4800,1950,0.126312465
937,Paris,48.856614,2.352222,4800,1925,0.126312465
78,Al-Iskandariyah (Alexandria),31.19,29.9,4778,2015,0.125733533
79,Ankara,39.91987,32.85427,4750,2015,0.124996711
65,Kitakyushu-Fukuoka M.M.A.,33.6064,130.4181,4726,1980,0.124365148
35,Krung Thep (Bangkok),13.721964,100.525248,4723,1980,0.124286203
413,Detroit,42.33143,-83.04575,4720,1970,0.124207258
73,Sankt Peterburg (Saint Petersburg),59.929858,30.326228,4645,1980,0.122233625
80,Kabul,34.53,69.17,4635,2015,0.121970474
45,Hong Kong,22.28,114.19,4623,1980,0.121654693
23,Tianjin,39.14222,117.17667,4600,1975,0.121049446
81,Qingdao,36.1,120.37,4566,2015,0.120154733
64,Philadelphia,39.95234,-75.16379,4540,1980,0.11947054
82,Chittagong,22.33,91.84,4539,2015,0.119444225
83,Monterrey,25.66667,-100.31667,4513,2015,0.118760033
84,Sydney,-33.87,151.21,4505,2015,0.118549512
85,Dalian,38.91,121.6,4489,2015,0.11812847
29,Lima,-12.04318,-77.02824,4438,1980,0.1167864
86,Xiamen,24.48,118.08,4430,2015,0.11657588
24,Delhi,28.65381,77.22897,4400,1975,0.115786427
25,Karachi,24.9056,67.0822,4400,1975,0.115786427
26,San Francisco,37.77493,-122.419416,4400,1975,0.115786427
14,Istanbul,41.0138,28.9497,4397,1980,0.115707481
87,Zhengzhou,34.76,113.65,4387,2015,0.11544433
414,Manila,14.58,121,4350,1970,0.114470672
415,Saint Petersburg,59.89444,30.26417,4350,1970,0.114470672
27,Bangkok,13.75398,100.50144,4300,1975,0.113154917
416,Delhi,28.65381,77.22897,4300,1970,0.113154917
417,Jakarta,-6.21462,106.84513,4300,1970,0.113154917
418,San Francisco,37.77493,-122.419416,4278,1970,0.112575985
54,Madrid,40.4165,-3.70256,4253,1980,0.111918107
88,Boston,42.347919,-71.06453,4249,2015,0.111812847
1257,New York,40.714353,-74.005972,4242,1900,0.111628641
2444,London,51.511214,-0.119825,4241,1875,0.111602326
30,Chennai (Madras),13.053091,80.24875,4203,1980,0.110602353
89,Melbourne,-37.81,144.96,4203,2015,0.110602353
28,Saint Petersburg,59.89444,30.26417,4200,1975,0.110523407
29,Tehran,35.69439,51.42151,4200,1975,0.110523407
90,BrasÃƒÂ_lia,-15.78,-47.93,4155,2015,0.109339228
30,Madrid,40.416775,-3.703789,4100,1975,0.107891898
91,Jiddah,21.51694,39.21917,4076,2015,0.107260335
92,Phoenix-Mesa,33.449454,-112.074743,4063,2015,0.106918239
93,"Ji'nan, Shandong",36.68,117,4032,2015,0.106102471
938,Berlin,52.52437,13.41053,4013,1925,0.105602484
1156,Paris,48.856614,2.352222,4000,1914,0.105260388
477,Los Angeles,34.052234,-118.243685,3986,1950,0.104891977
94,MontrÃƒÂ©al,45.51,-73.59,3981,2015,0.104760401
95,Shantou,23.37,116.71,3949,2015,0.103918318
96,Nairobi,-1.28333,36.81667,3915,2015,0.103023605
97,MedellÃƒÂ_n,6.25,-75.56,3911,2015,0.102918344
31,Hong Kong,22.28552,114.15769,3900,1975,0.102628878
98,Fortaleza,-3.74,-38.54,3880,2015,0.102102576
69,Barcelona,41.38879,2.15899,3837,1980,0.100971027
106,Detroit,42.387137,-83.102641,3807,1980,0.100181574
32,Boston,42.358431,-71.059772,3800,1975,0.099997368
33,Milan,45.465453,9.198786,3800,1975,0.099997368
419,Tianjin,39.14222,117.17667,3800,1970,0.099997368
99,Kunming,25.04,102.72,3780,2015,0.099471067
420,Boston,42.358431,-71.059772,3762,1970,0.098997395
100,Changchun,43.88,125.29,3762,2015,0.098997395
101,Changsha,28.23,112.94,3761,2015,0.09897108
23,Tianjin,39.11,117.19,3750,1980,0.098681614
102,Recife,-8.05,-34.88,3739,2015,0.098392148
50,Santiago,-33.46,-70.65,3721,1980,0.097918476
103,Roma (Rome),41.894743,12.481142,3718,2015,0.097839531
478,Berlin,52.52437,13.41053,3707,1950,0.097550064
104,Zhongshan,22.52,113.38,3691,2015,0.097129023
105,Cape Town,-33.92584,18.42322,3660,2015,0.096313255
106,Detroit,42.387137,-83.102641,3639,2015,0.095760638
107,HÃƒÂ  Noi,21.0245,105.84117,3629,2015,0.095497487
108,Tel Aviv-Yafo (Tel Aviv-Jaffa),32.08088,34.78057,3608,2015,0.09494487
109,PÃƒÂ´rto Alegre,-30.03,-51.23,3603,2015,0.094813294
34,Madras,13.08784,80.27847,3600,1975,0.094734349
35,Rome,41.89474,12.4839,3600,1975,0.094734349
110,Kano,12.00012,8.51672,3587,2015,0.094392253
111,Salvador,-12.97,-38.51,3583,2015,0.094286992
112,Faisalabad,31.4166667,73.0833333,3567,2015,0.093865951
939,Chicago,41.85003,-87.65005,3564,1925,0.093787006
113,Berlin,52.52437,13.41053,3563,2015,0.093760691
114,Halab (Aleppo),36.213611,37.157141,3562,2015,0.093734375
421,Milan,45.465453,9.198786,3560,1970,0.093681745
32,BogotÃƒÂ¡,4.61,-74.08,3525,1980,0.092760717
115,Dakar,14.6937,-17.44406,3520,2015,0.092629141
116,Dar-el-Beida (Casablanca),33.59278,-7.61916,3515,2015,0.092497566
36,Barcelona,41.38879,2.15899,3500,1975,0.092102839
37,Ho Chi Minh,10.823099,106.628767,3500,1975,0.092102839
38,Lima,-12.04318,-77.02824,3500,1975,0.092102839
39,Yangon,16.80528,96.15611,3500,1975,0.092102839
422,Hong Kong,22.28552,114.15769,3500,1970,0.092102839
1157,Berlin,52.52437,13.41053,3500,1914,0.092102839
1158,Tokyo,35.6895,139.69171,3500,1914,0.092102839
117,ÃƒÅ“rÃƒÂ_mqi (Wulumqi),43.83,87.6,3499,2015,0.092076524
118,"Taiyuan, Shanxi",37.86,112.55,3482,2015,0.091629168
479,Osaka,34.693216,135.502082,3480,1950,0.091576537
119,Curitiba,-25.43,-49.27,3474,2015,0.091418647
120,Jaipur,26.91667,75.81667,3461,2015,0.091076551
53,Shenyang,41.79,123.43,3418,1980,0.089945001
423,Madrid,40.416775,-3.703789,3400,1970,0.08947133
940,Ruhr,51.407415,6.862626,3400,1925,0.08947133
103,Roma (Rome),41.894743,12.481142,3390,1980,0.089208179
121,Shizuoka-Hamamatsu M.M.A.,34.9769,138.3831,3369,2015,0.088655562
122,Hefei,31.86,117.28,3348,2015,0.088102945
1258,Paris,48.856614,2.352222,3330,1900,0.087629273
424,Tehran,35.69439,51.42151,3325,1970,0.087497697
40,Athens,37.97945,23.71622,3300,1975,0.08683982
123,San Francisco-Oakland,37.759881,-122.437392,3300,2015,0.08683982
124,"Fuzhou, Fujian",26.08,119.3,3283,2015,0.086392463
88,Boston,42.347919,-71.06453,3281,1980,0.086339833
10,Dhaka,23.71,90.41,3266,1980,0.085945107
125,Shijiazhuang,38.04,114.51,3264,2015,0.085892477
84,Sydney,-33.87,151.21,3252,1980,0.085576695
126,Seattle,47.626353,-122.333144,3249,2015,0.08549775
127,Addis Ababa,9.02497,38.74689,3238,2015,0.085208284
128,Nanning,22.82,108.32,3234,2015,0.085103024
129,Lucknow,26.85,80.91667,3222,2015,0.084787242
130,Busan,35.10278,129.04028,3216,2015,0.084629352
131,Wenzhou,28,120.67,3208,2015,0.084418831
34,Johannesburg,-26.20227,28.04363,3202,1980,0.084260941
41,Istanbul,41.005275,28.976944,3200,1975,0.08420831
42,Nagoya,35.181447,136.906397,3200,1975,0.08420831
43,Santiago,-33.45,-70.666667,3200,1975,0.08420831
425,Karachi,24.9056,67.0822,3200,1970,0.08420831
135,Milano (Milan),45.55307,9.18344,3168,1980,0.083366227
132,Ibadan,7.38778,3.89639,3160,2015,0.083155706
49,Baghdad,33.34058,44.40088,3145,1980,0.08276098
133,Ningbo,29.88,121.55,3132,2015,0.082418884
426,Bangkok,13.75398,100.50144,3125,1970,0.082234678
57,Miami,25.789097,-80.204044,3122,1980,0.082155733
134,San Diego,32.71533,-117.15726,3107,2015,0.081761006
130,Busan,35.10278,129.04028,3104,1980,0.081682061
44,Shenyang,41.79222,123.43278,3100,1975,0.081576801
45,Washington D.C.,38.914144,-77.0234,3100,1975,0.081576801
135,Milano (Milan),45.55307,9.18344,3099,2015,0.081550486
136,YaoundÃƒÂ©,3.87,11.52,3066,2015,0.080682087
113,Berlin,52.52437,13.41053,3056,1980,0.080418936
137,AthÃƒÂ_nai (Athens),37.95342,23.74897,3052,2015,0.080313676
427,Madras,13.08784,80.27847,3050,1970,0.080261046
138,"Wuxi, Jiangsu",31.54,120.3,3049,2015,0.080234731
139,Campinas,-22.91,-47.07,3047,2015,0.0801821
140,Izmir,38.41273,27.13838,3040,2015,0.079997895
141,Kanpur,26.46667,80.35,3021,2015,0.079497908
142,Mashhad,36.297,59.6062,3014,2015,0.079313702
56,Toronto,43.7,-79.42,3008,1980,0.079155812
46,Bogota,4.598056,-74.075833,3000,1975,0.078945291
47,Guangzhou,23.11667,113.25,3000,1975,0.078945291
48,Johannesburg,-26.20227,28.04363,3000,1975,0.078945291
137,AthÃƒÂ_nai (Athens),37.95342,23.74897,2987,1980,0.078603195
143,Puebla,19.041532,-98.204962,2984,2015,0.078524249
428,Barcelona,41.38879,2.15899,2975,1970,0.078287413
429,Nagoya,35.181447,136.906397,2975,1970,0.078287413
144,Sana'a',15.353115,44.20782,2962,2015,0.077945317
15,Chongqing,29.56,106.55,2961,1980,0.077919002
430,Rome,41.89474,12.4839,2960,1970,0.077892687
431,Washington D.C.,38.914144,-77.0234,2957,1970,0.077813742
145,Santo Domingo,18.49,-69.9,2945,2015,0.077497961
146,Douala,4.05,9.7,2943,2015,0.07744533
147,Kyiv (Kiev),50.445368,30.518634,2942,2015,0.077419015
148,Ciudad de Guatemala (Guatemala City),14.612652,-90.530746,2918,2015,0.076787453
149,Caracas,10.48801,-66.87919,2916,2015,0.076734823
150,Durban,-29.8579,31.0292,2901,2015,0.076340096
49,Baghdad,33.34058,44.40088,2900,1975,0.076313781
50,Sydney,-33.86785,151.20732,2900,1975,0.076313781
51,Wuhan,30.58333,114.26667,2900,1975,0.076313781
432,Lima,-12.04318,-77.02824,2900,1970,0.076313781
433,Santiago,-33.45,-70.666667,2900,1970,0.076313781
480,Philadelphia,39.95,-75.1667,2900,1950,0.076313781
151,Lisboa (Lisbon),38.71686,-9.139867,2884,2015,0.07589274
38,Lahore,31.5497222,74.3436111,2882,1980,0.075840109
481,Mexico City,19.42847,-99.12766,2872,1950,0.075576959
152,Guiyang,26.58,106.72,2871,2015,0.075550643
482,Rio de Janeiro,-22.90278,-43.2075,2866,1950,0.075419068
153,P'yongyang,39.03,125.75,2863,2015,0.075340123
154,Surabaya,-7.288838,112.741078,2853,2015,0.075076972
434,Manchester,53.48095,-2.23743,2850,1970,0.074998026
89,Melbourne,-37.81,144.96,2839,1980,0.07470856
435,Istanbul,41.005275,28.976944,2825,1970,0.074340149
94,MontrÃƒÂ©al,45.51,-73.59,2824,1980,0.074313834
28,Bangalore,12.97194,77.59369,2812,1980,0.073998053
52,Alexandria,31.200092,29.918739,2800,1975,0.073682272
53,Montreal,45.50884,-73.58781,2800,1975,0.073682272
155,Minneapolis-St. Paul,44.97307,-93.269895,2791,2015,0.073445436
436,Sydney,-33.86785,151.20732,2780,1970,0.07315597
156,Al Kuwayt (Kuwait City),29.353429,47.982244,2779,2015,0.073129654
74,"Washington, D.C.",38.89511,-77.03637,2777,1980,0.073077024
483,Detroit,42.33143,-83.04575,2776,1950,0.073050709
437,Harbin,45.75,126.65,2750,1970,0.072366517
484,Cairo,30.06263,31.24967,2750,1950,0.072366517
157,"Tangshan, Hebei",39.63,118.18,2743,2015,0.072182311
158,Ouagadougou,12.36,-1.54,2741,2015,0.072129681
159,Lanzhou,36.06,103.79,2723,2015,0.071656009
46,ThÃƒÂ nh Pho Ho ChÃƒÂ_ Minh (Ho Chi Minh City),10.75,106.66667,2716,1980,0.071471803
160,Guayaquil,-2.17,-79.9,2709,2015,0.071287598
1259,Berlin,52.52437,13.41053,2707,1900,0.071234968
438,Birmingham,33.520661,-86.80249,2705,1970,0.071182337
54,Birmingham,52.48142,-1.89983,2700,1975,0.071050762
55,Manchester,53.48095,-2.23743,2700,1975,0.071050762
56,Toronto,43.70011,-79.4163,2700,1975,0.071050762
485,Saint Petersburg,59.89444,30.26417,2700,1950,0.071050762
161,Incheon,37.45361,126.73167,2685,2015,0.070656035
486,Mumbai,19.07283,72.88261,2680,1950,0.07052446
162,Nagpur,21.15,79.1,2675,2015,0.070392884
163,Taipei,25.05,121.55,2666,2015,0.070156049
439,Montreal,45.50884,-73.58781,2660,1970,0.069998158
164,Tampa-St. Petersburg,27.94752,-82.45843,2659,2015,0.069971843
123,San Francisco-Oakland,37.759881,-122.437392,2656,1980,0.069892898
165,Manchester,53.48095,-2.23743,2646,2015,0.069629747
166,Cali,3.44,-76.52,2646,2015,0.069629747
167,Antananarivo,-18.91368,47.53613,2610,2015,0.068682403
57,Chongqing,29.56301,106.551557,2600,1975,0.068419252
58,Melbourne,-37.814,144.96332,2600,1975,0.068419252
168,Denver-Aurora,39.734283,-104.983138,2599,2015,0.068392937
169,Kumasi,6.68848,-1.62443,2599,2015,0.068392937
170,El DjazaÃƒÂ¯r  (Algiers),36.75,3.04,2594,2015,0.068261362
171,"Changzhou, Jiangsu",31.79,119.96,2584,2015,0.067998211
149,Caracas,10.48801,-66.87919,2575,1980,0.067761375
16,Lagos,6.45306,3.39583,2572,1980,0.067682429
172,Sapporo,43.06417,141.34694,2571,2015,0.067656114
173,Dimashq (Damascus),33.508586,36.308444,2566,2015,0.067524539
440,Wuhan,30.58333,114.26667,2560,1970,0.067366648
441,Ho Chi Minh,10.823099,106.628767,2550,1970,0.067103497
442,Johannesburg,-26.20227,28.04363,2550,1970,0.067103497
174,Coimbatore,10.9925,76.96139,2549,2015,0.067077182
175,Bandung,-6.919393,107.608456,2544,2015,0.066945607
176,Nanchang,28.68,115.88,2527,2015,0.06649825
78,Al-Iskandariyah (Alexandria),31.19,29.9,2521,1980,0.066340359
40,Wuhan,30.58,114.27,2516,1980,0.066208784
177,Birmingham (West Midlands),52.4814,-1.8998,2515,2015,0.066182469
178,Bamako,12.65,-8,2515,2015,0.066182469
179,Rawalpindi,33.6,73.0666667,2506,2015,0.065945633
443,Toronto,43.70011,-79.4163,2495,1970,0.065656167
444,Taipei,25.04776,121.53185,2490,1970,0.065524591
36,Hyderabad,17.37528,78.47444,2487,1980,0.065445646
180,Vancouver,49.25,-123.12,2485,2015,0.065393016
44,Ahmadabad,23.03333,72.61667,2484,1980,0.065366701
181,Kozhikode (Calicut),11.25669,75.778724,2476,2015,0.06515618
60,Dallas-Fort Worth,32.72541,-97.32085,2468,1980,0.064945659
182,San Juan,18.46633,-66.10572,2463,2015,0.064814084
445,Athens,37.97945,23.71622,2450,1970,0.064471988
151,Lisboa (Lisbon),38.71686,-9.139867,2449,1980,0.064445672
59,Belo Horizonte,-19.92,-43.94,2441,1980,0.064235152
183,Indore,22.71792,75.8333,2441,2015,0.064235152
184,Port-au-Prince,18.53917,-72.335,2440,2015,0.064208837
185,Abuja,9.05735,7.48976,2440,2015,0.064208837
186,Zibo,36.79,118.06,2430,2015,0.063945686
62,Houston,29.7601927,-95.3693896,2424,1980,0.063787795
1159,Chicago,41.85003,-87.65005,2420,1914,0.063682535
187,Kochi (Cochin),9.930693,76.260069,2416,2015,0.063577274
63,Singapore,1.28967,103.85007,2415,1980,0.063550959
188,Dubayy (Dubai),25.272061,55.311265,2415,2015,0.063550959
941,Buenos Aires,-34.61315,-58.37723,2410,1925,0.063419384
59,Busan,35.179554,129.075642,2400,1975,0.063156233
60,Caracas,10.48801,-66.87919,2400,1975,0.063156233
61,Dallas,32.78014,-96.800451,2400,1975,0.063156233
62,Lahore,31.54972,74.34361,2400,1975,0.063156233
446,Melbourne,-37.814,144.96332,2400,1970,0.063156233
487,Manchester,53.48095,-2.23743,2382,1950,0.062682561
77,Yangon,16.80528,96.15611,2378,1980,0.062577301
189,Baku,40.38,49.89,2374,2015,0.06247204
2837,London,51.511214,-0.119825,2362.236,1851,0.062162469
447,Cleveland,41.499495,-81.695409,2361,1970,0.062129944
177,Birmingham (West Midlands),52.4814,-1.8998,2357,1980,0.062024684
190,AsunciÃƒÂ_n,-25.30066,-57.63591,2356,2015,0.061998368
448,Bogota,4.598056,-74.075833,2350,1970,0.061840478
165,Manchester,53.48095,-2.23743,2343,1980,0.061656272
191,Port Harcourt,4.77742,7.0134,2343,2015,0.061656272
449,Caracas,10.48801,-66.87919,2335,1970,0.061445751
450,Hamburg,53.57532,10.01534,2335,1970,0.061445751
192,Thrissur,10.51667,76.21667,2329,2015,0.061287861
451,Budapest,47.49801,19.03991,2325,1970,0.0611826
2953,London,51.511214,-0.119825,2320,1850,0.061051025
193,Huizhou,23.08,114.4,2312,2015,0.060840504
63,Cleveland,41.499495,-81.695409,2300,1975,0.060524723
64,Miami,25.77427,-80.19366,2300,1975,0.060524723
452,Chongqing,29.56301,106.551557,2300,1970,0.060524723
453,St. Louis,38.626978,-90.199403,2299,1970,0.060498408
194,GoiÃƒÂ¢nia,-16.68,-49.25,2285,2015,0.060129997
195,Accra,5.55602,-0.1969,2277,2015,0.059919476
163,Taipei,25.05,121.55,2273,1980,0.059814215
196,Las Vegas,36.169941,-115.13983,2270,2015,0.05973527
76,Guadalajara,20.66667,-103.33333,2269,1980,0.059708955
197,Baltimore,39.29038,-76.61219,2267,2015,0.059656325
198,Tashkent,41.26465,69.21627,2251,2015,0.059235283
454,Alexandria,31.200092,29.918739,2250,1970,0.059208968
455,Yangon,16.80528,96.15611,2250,1970,0.059208968
2445,Paris,48.856614,2.352222,2250,1875,0.059208968
199,Daegu,35.87028,128.59111,2244,2015,0.059051078
488,Boston,42.358431,-71.059772,2233,1950,0.058761612
489,Sao Paolo,-23.5475,-46.63611,2227,1950,0.058603721
